Topic	Irish	English	Phonetic	Sound	
Daily Routine	Músclaím ...	I wake up ...	musclum..		
Daily Routine	de ghnáth	usually	de greah		
Daily Routine	Músclaím de ghnáth thart fá leath i ndiaidh a seacht.	I usually wake up around half past seven.			
Daily Routine	Éirím ag a hocht.		earim..		
Daily Routine		or			
Daily Routine	Éirím ar a hocht.	I get up at eight.			
Daily Routine	Ním mé féin.	I wash myself.			
Daily Routine	Ithim mo bhricfeasta idir a hocht agus leath i ndiaidh a hocht.	I eat my breakfast between eight and half past eight.			
Daily Routine	Téim ag obair thart fá cheathrú go dtí a naoi.	I go to work at around a quarter to nine.			
Daily Routine	Téim chun na scoile ag a naoi a chlog.	I go to school at nine o'clock.			
Daily Routine		ASKING SOMEONE WHAT TIME THEY DO SOMETHING			
Daily Routine	Cad é an t-am a n-éiríonn tú achan mhaidin?	What time do you get up every morning?			
Daily Routine	Cad é an t-am a dtéann tú ag obair achan mhaidin?	What time do you go to work every morning?			
Daily Routine	Cad é an t-am a mbíonn do dhinnéar agat?	What time do you have your dinner?			
Daily Routine		DISCUSSING ROUTINES			
Daily Routine	Bíonn mo lón agam idir a haon agus a dó.	I have my lunch between one and two.			
Daily Routine	Bím sa bhaile de ghnáth ag a sé.	I'm usually home at six.			
Daily Routine	Bíonn mo dhinnéar agam sa bhaile.	I have my dinner at home.			
Daily Routine		We've already come across tá many times during this course. When you're referring to something that recurs, either frequently or infrequently, you need to use the present habitual form:			
Daily Routine	Tá mé tuirseach.	(I'm tired.)			
Daily Routine	Bím tuirseach i gcónaí tráthnóna.	(I am always tired in the evening.)			
Daily Routine	Tá mé mall.(I'm late.)				
Daily Routine	Bím mall i gcónaí maidin Dé luain.	(I am always late on Monday morning.)			
Daily Routine					
Daily Routine	Cad é a dhéanann tú i rith an lae?	What do you do during the day?			
Daily Routine	Cad é a dhéanann tú tráthnóna?	What do you do in the evening?			
Daily Routine		GIVING YOUR REPLY			
Daily Routine	Tagaim abhaile ..	I come home ...			
Daily Routine	Éistim leis an raidió.	I listen to the radio.			
Daily Routine	Amharcaim ar an teilifís.	I watch television.			
Daily Routine	Téim amach.	I go out.			
Daily Routine	Déanaim réidh béile.	I prepare a meal.			
Daily Routine	Téim a luí luath.	I go to bed early.			
Daily Routine					
Daily Routine		ASKING SOMEONE IF THEY DO A PARTICULAR THING			
Daily Routine					
Daily Routine	An éisteann tú le ceol?	Do you listen to music?			
Daily Routine	Éistim.	I do (literally, I listen).			
Daily Routine	Ní éistim.	I don't (literally, I don't listen).			
Daily Routine					
Daily Routine	An dtéann tú amach go minic?	Do you go out often?			
Daily Routine	Téim.				
Daily Routine	Ní théim.				
Daily Routine					
Daily Routine	An éiríonn tú go luath?	Do you get up early?			
Daily Routine	Éirím.				
Daily Routine	Ní éirím.				
Daily Routine					
Daily Routine	A-?				
Daily Routine	Bím.				
Daily Routine	Ní bhím.				
Daily Routine					
Daily Routine	A-----------------------------?				
Daily Routine	Tagaim.				
Daily Routine	Ní thagaim.				
Daily Routine					
Daily Routine	An amharcann tú ar an teilifís?	Do you watch television?			
Daily Routine	Amharcaim.				
Daily Routine	Ní amharcaim.				
					