Topic	irish	english
Location and movement	Cá bhfuil ...?	Where is/are ...?
Location and movement	Cá bhfuil oifig an phoist?	Where is the post office?
Location and movement	Cá bhfuil do charr?	Where is your car?
Location and movement	Cá bhfuil na heochracha?	Where are the keys?
Location and movement	SAYING WHERE SOMETHING IS	
Location and movement	... ar chlé	... on the left
Location and movement	... ar dheis	... on the right
Location and movement	Tá sé ansin ar chlé.	It's there on the left.
Location and movement	Tá sé anseo ar dheis.	It's here on the right.
Location and movement	Tá sé trasna ón siopa.	It's across from the shop.
Location and movement	Tá sé in aice leis an chaife.	It's beside the cafe.
Location and movement		
Location and movement	ASKING HOW MANY ROOMS THERE ARE IN A HOUSE	
Location and movement	Cá mhéad seomra atá ann?	How many rooms are in it?
Location and movement		
Location and movement	Here are some possible answers:	
Location and movement	Tá trí sheomra ann.	It has three rooms.
Location and movement	Ocht seomra.	Eight rooms.
Location and movement		
Location and movement	If you are not sure why it is trí sheomra but ocht seomra, go back to Unit 6.	
Location and movement	GIVING DIRECTIONS	
Location and movement	Téigh suas an staighre.	Go up the stairs.
Location and movement	Téigh síos an halla.	Go down the hall.
Location and movement	Tiontaigh ...	Turn ...
Location and movement	Tiontaigh ar chlé or ar dheis.	Turn left or right.
Location and movement	SAYING WHICH DOOR IT IS	
Location and movement	an chéad doras ar chlé	the first door on the left
Location and movement		
Location and movement	Here are the ordinal numbers from the first to tenth:	
Location and movement	an chéad	the first
Location and movement	an dara	the second
Location and movement	an tríú	the third
Location and movement	an ceathrú	the fourth
Location and movement	an cúigiú	the fifth
Location and movement	an séú	the six
Location and movement	an seachtú	the seventh
Location and movement	an t-ochtú	the eighth
Location and movement	an naoú	the ninth
Location and movement	an deichiú	the tenth
Location and movement	DESCRIBING THE CONTENTS OF A HOUSE	
Location and movement	an tábla	the table
Location and movement	an chaothaoir	the chair
Location and movement	an cuisneoir	the fridge
Location and movement	an sorn	the cooker
Location and movement	an leaba	the bed
Location and movement	an teilifíseán	the television
Location and movement	an prios	the press
Location and movement	an cuirtíní	the curtains
Location and movement	an brat urláir	the carpet
Location and movement	ASKING WHERE TO PUT THINGS	
Location and movement	Cá gcuirfidh mé é seo?	Where will I put this?
Location and movement	Cá gcuirfidh mé iad seo?	Where will I put these?
Location and movement	ASKING WHERE TO PUT THINGS	
Location and movement	Cuir thall ansin é.	Put it over there.
Location and movement	Cuir sa chistin é.	Put it in the kitchen.
Location and movement	Cuir sa seomra folctha é.	Put it in the bathroom.
Location and movement	Ar an tábla.	On the table.
Location and movement	As we saw in earlier units, i or in is the Irish for 'in':	
Location and movement	Tá mé i mo chónaí i mBaile Átha Cliath.	I live in Dublin.
Location and movement		
Location and movement	However, 'in the' is one word in Irish: sa(n).	
Location and movement	sa chistin	in the kitchen
Location and movement	sa gharáiste	in the garage
Location and movement		
Location and movement	Sa adds a séimhiú to words beginning with a consonant (except d, n, t, l, and s):	
Location and movement	sa chuisneoir	in the fridge
Location and movement	sa phrios	in the garage
Location and movement	but	
Location and movement	sa siopa	in the shop
Location and movement	sa teach	in the house
Location and movement		
Location and movement	And san is used before words beginning with a vowel:	
Location and movement	san oifig	in the office
Location and movement	san ionad spóirt	in the sports centre
Location and movement	MOVEMENT	
Location and movement	Téigh suas ...	Go up ...
Location and movement	Téigh síos ...	Go down ...
Location and movement	Téigh amach ...	Go out ...
Location and movement	Téigh isteach ...	Go in ...
Location and movement	LOCATION	
Location and movement	thuas	up
Location and movement	thíos ...	down
Location and movement	(taobh) amuigh	outside
Location and movement	(taobh) istigh ...	inside
		